Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0.16075709257507326,2024-05-15 08:00:00+00:00,62143.509999999995,9.99000999000964,2024-05-21 00:00:00+00:00,71312.32,11.46396122798325,1452.4972667552659,0.14539497640220211,Long,Closed,0
1,0,0.16909488363081662,2024-06-01 11:00:00+00:00,67660.57,11.441056210544048,2024-06-03 08:00:00+00:00,69142.55,11.69165144618792,227.46252798646336,0.01988125255226183,Long,Closed,1
2,0,0.16890978756576058,2024-06-03 16:00:00+00:00,69080.02,11.668291503237924,2024-06-04 00:00:00+00:00,69001.41,11.65501350483795,-36.60130340862055,-0.003136817707927676,Long,Closed,2
3,0,0.16897605202946783,2024-06-04 08:00:00+00:00,68836.54,11.631726764568157,2024-06-05 08:00:00+00:00,70927.57,11.985060758643725,329.7172065519693,0.028346367931915528,Long,Closed,3
4,0,0.168423561320906,2024-06-06 00:00:00+00:00,71018.06,11.961114583300514,2024-06-06 16:00:00+00:00,70948.95,11.949474830978893,-35.55034173716735,-0.0029721596168635588,Long,Closed,4
5,0,0.1682433213073016,2024-06-07 00:00:00+00:00,70883.05,11.925599756390511,2024-06-07 17:00:00+00:00,69803.59,11.743987820773146,-205.28152319554448,-0.0172135177591822,Long,Closed,5
6,0,0.1688799710329421,2024-06-08 00:00:00+00:00,69401.5,11.720523309641067,2024-06-11 01:00:00+00:00,68724.01,11.606108818067623,-137.7411237028181,-0.011752130861724872,Long,Closed,6
7,0,0.19384345362477215,2024-07-14 00:00:00+00:00,59753.99,11.582919789458174,2024-07-16 05:00:00+00:00,63654.92,12.33908953300858,732.2477342260153,0.06321788871337308,Long,Closed,7
8,0,0.19039314014439782,2024-07-18 01:00:00+00:00,64678.99,12.31443600746752,2024-07-24 22:00:00+00:00,65288.01,12.430389237678847,91.20840496559545,0.007406624624163218,Long,Closed,8
9,0,0.18406957824123127,2024-07-26 16:00:00+00:00,67396.0,12.405553295144273,2024-07-27 21:00:00+00:00,68860.0,12.675031157691185,244.3972780923263,0.019700635052525447,Long,Closed,9
10,0,0.1857791828803283,2024-07-28 01:00:00+00:00,68090.01,12.649706420112125,2024-07-28 22:00:00+00:00,68010.24,12.634886814695019,-40.104198653169846,-0.003170365961173855,Long,Closed,10
